scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sub_category_encoded,fund_size_cr_log,expense_ratio_log,cluster,is_top_performer
Aditya Birla SL Govt Securities Fund,1000,1000,0.29,1351.0,10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6.0,8.0,19,7.20934025660291,0.2546422183735807,2,0
Aditya Birla SL Income Fund,1000,5000,0.49,1496.0,10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7,26,7.311218384419629,0.3987761199573678,2,0
Aditya Birla SL India GenNext Fund,1000,1000,0.82,3217.0,10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25.0,13.3,33,8.076515327552329,0.598836501088704,3,1
Aditya Birla SL Infrastructure Fund,1000,1000,1.7,562.0,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2,33,6.333279628139691,0.9932517730102833,0,0
Aditya Birla SL Inter Equity – Plan A-Direct Growth,1000,1000,1.75,108.0,10,Vinod Narayan Bhat,1.28,1.855,13.99,0.86,0.81,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,0.9,17.7,10.4,33,4.6913478822291435,1.0116009116784799,0,0
Aditya Birla SL Inter Equity – Plan B-Direct Growth,1000,1000,2.15,90.0,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,22.7,7.6,33,4.51085950651685,1.1474024528375417,0,0
Aditya Birla SL Liquid Fund,500,500,0.21,28071.0,10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4,23,10.24252791726305,0.19062035960864973,4,0
Aditya Birla SL Low Duration Fund,100,100,0.39,10035.0,10,Mohit Sharma,4.76,3.33,0.97,1.0,2.05,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7.0,24,9.213933907486313,0.3293037471426004,4,0
Aditya Birla SL Manufacturing Equity Fund,1000,1000,1.56,613.0,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,21.7,6.8,33,6.419994928147142,0.9400072584914712,0,0
Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,1652.0,10,Sunaina da Cunha,2.29,8.463750000000001,10.73,1.12,0.93,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6,25,7.410347097821024,0.6205764877251099,0,0
Aditya Birla SL Midcap Fund,1000,1000,1.2,3436.0,10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28.0,8.3,27,8.142354276849835,0.7884573603642702,0,0
Aditya Birla SL Money Manager Fund,1000,1000,0.21,13095.0,10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4,28,9.48006211905097,0.19062035960864973,4,0
Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,494.0,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6,20,6.20455776256869,0.2776317365982795,1,0
Aditya Birla SL Overnight Fund,0,5000,0.07,13399.0,4,Kaustubh Gupta,0.11,0.58,0.35,0.43,0.02,1,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,8.9,31,9.503009985939002,0.06765864847381481,2,0
Aditya Birla SL Pure Value Fund,1000,1000,1.12,3798.0,10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3.0,29.8,4.3,37,8.242493153187626,0.7514160886839212,0,0
Aditya Birla SL Regular Savings Fund,500,500,0.92,1585.0,10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6,4,7.368970402194793,0.6523251860396903,4,0
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1000,1.06,258.0,4,Dhaval Shah,2.41,-4.16625,14.94,0.84,0.94,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,0.0,17.9,8.9,32,5.556828061699537,0.7227059828014898,0,0
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1000,1.07,91.0,4,Dhaval Shah,2.34,-3.14,11.86,0.77,0.93,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,-0.1,15.0,8.9,32,4.5217885770490405,0.7275486072772778,0,0
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,1000,0.63,27.0,4,Dhaval Shah,0.29,-2.04,2.99,0.34,0.13,4,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,3.0,4.6,8.9,32,3.332204510175204,0.48858001481867097,2,0
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,1000,0.85,26.0,4,Dhaval Shah,0.22,0.09,2.19,1.09,0.18,3,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds,2.9,4.6,8.9,32,3.295836866004329,0.6151856390902334,2,0
Aditya Birla SL Savings Fund,1000,1000,0.34,14457.0,10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5,36,9.579003173560242,0.29266961396282,4,0
Aditya Birla SL Short Term Fund,1000,1000,0.38,5045.0,10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6,34,8.526351129201004,0.3220834991691133,4,0
Aditya Birla SL Small Cap Fund,1000,1000,1.04,2901.0,10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4,35,7.973155433444133,0.712949807856125,0,0
Aditya Birla SL Tax Relief ’96 – Direct Growth,500,500,0.93,12755.0,10,Atul Penkar,1.94,-4.16625,15.31,0.87,0.83,6,Aditya Birla Sun Life Mutual Fund,1,Equity,ELSS Mutual Funds,-3.0,16.1,5.8,11,9.453757028129948,0.6575200029167941,0,0
AXIS All Seasons Debt Fund,1000,5000,0.22,161.0,3,R Sivakumar,1.77,1.88,2.06,0.8,1.02,4,Axis Mutual Fund,4,Other,FoFs Domestic,4.7,6.2,8.9,16,5.087596335232384,0.1988508587451652,2,0
AXIS Arbitrage Fund,1000,500,0.31,3085.0,9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6,1,8.034631032923107,0.27002713721306015,2,0
AXIS Balanced Advantage Fund,1000,500,0.7,2077.0,6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8.0,9,7.639161171659173,0.5306282510621704,2,0
AXIS Banking & PSU Debt Fund,1000,5000,0.33,13953.0,10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,3,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2,2,9.543521484499182,0.2851789422336624,4,0
AXIS Bluechip Fund,500,500,0.63,33049.0,10,Shreyash Devalkar,1.81,-4.16625,15.76,0.89,0.9,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1,22,10.405776845279833,0.48858001481867097,3,0
AXIS Children’s Gift Fund,1000,5000,1.06,685.0,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,17.8,10.1,3,6.530877627725885,0.7227059828014898,0,0
AXIS Corporate Debt Fund,1000,5000,0.22,3783.0,6,Devang Shah,2.88,2.46,2.06,0.67,1.28,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3,6,8.238536930171769,0.1988508587451652,4,0
AXIS Credit Risk Fund,1000,5000,0.81,620.0,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8,7,6.431331081933479,0.5933268452777344,2,0
AXIS Dynamic Bond Fund,1000,5000,0.26,1733.0,10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7,10,7.458186157340487,0.23111172096338664,2,0
AXIS Equity Hybrid Fund,1000,500,0.89,1699.0,5,Ashish Naik,2.37,-1.88,13.0,0.87,1.09,6,Axis Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,8.9,0,7.438383530044307,0.636576829071551,0,0
AXIS Equity Saver Fund,1000,500,0.88,978.0,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8,12,6.88653164253051,0.6312717768418579,0,0
AXIS Flexi Cap Fund,500,500,0.7,10077.0,5,Shreyash Devalkar,1.77,-4.16625,16.19,0.89,0.92,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3,14,9.218110109240543,0.5306282510621704,3,1
AXIS Floater Fund,1000,5000,0.16,416.0,2,Aditya Pagaria,2.87,1.855,12.3,0.86,1.29,2,Axis Mutual Fund,2,Debt,Floater Mutual Funds,5.8,18.5,8.9,15,6.0330862217988015,0.1484200051182733,1,0
AXIS Focused 25 Fund,500,500,0.74,15139.0,10,Jinesh Gopani,1.44,-4.16625,18.84,1.04,0.74,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,14.8,8.9,18,9.625095526991439,0.5538851132264376,3,0
AXIS FTP – Series 104 – 1112Days,0,0,0.13,110.0,4,Devang Shah,7.27,5.29,12.3,2.36,2.19,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,13,4.709530201312334,0.12221763272424921,1,1
AXIS FTP – Series 109 – 111Days,0,0,0.0,565.0,1,Devang Shah,2.87,1.855,12.3,0.86,1.29,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,13,6.338594078203183,0.0,1,1
AXIS Gilt Fund,1000,5000,0.39,133.0,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4.0,5.9,7.9,19,4.897839799950911,0.3293037471426004,2,0
AXIS Gold Fund,1000,5000,0.17,290.0,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,5,Axis Mutual Fund,4,Other,FoFs Domestic,14.5,12.0,13.7,16,5.673323267171493,0.15700374880966478,1,1
AXIS Growth Opportunities Fund,1000,500,0.59,8053.0,4,Jinesh Gopani,2.64,1.19,17.3,0.91,1.28,6,Axis Mutual Fund,3,Equity,Large & Mid Cap Funds,-6.4,26.5,8.9,21,8.9939241414114,0.4637340162321401,3,0
AXIS Liquid Fund,0,500,0.15,27226.0,10,Devang Shah,4.54,1.41,0.38,0.78,0.96,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4,23,10.211964406994612,0.1397619423751587,4,0
AXIS Long Term Equity Fund,500,500,0.85,28754.0,10,Jinesh Gopani,1.45,-4.16625,18.65,1.02,0.75,6,Axis Mutual Fund,2,Equity,ELSS Mutual Funds,-11.1,15.7,9.4,11,10.266566944147854,0.6151856390902334,3,0
AXIS Midcap Fund,500,500,0.57,18920.0,10,Shreyash Devalkar,2.98,-2.25,15.37,0.81,1.4,6,Axis Mutual Fund,5,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8,27,9.84802769533176,0.4510756193602166,3,1
AXIS Money Market Fund,1000,5000,0.21,4002.0,4,Devang Shah,4.81,2.81,0.62,1.22,1.91,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.4,8.9,28,8.294799358992574,0.19062035960864973,4,0
AXIS Nifty 100 Index Fund,1000,500,0.15,953.0,3,Ashish Naik,2.93,-1.76,16.66,0.99,1.24,6,Axis Mutual Fund,3,Other,Index Funds,-1.7,25.1,8.9,20,6.860663671448287,0.1397619423751587,1,0
AXIS Overnight Fund,0,500,0.05,12566.0,4,Aditya Pagaria,0.49,0.62,0.35,0.44,0.09,1,Axis Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,8.9,31,9.438829609615144,0.048790164169432,2,0
AXIS Regular Saver Fund,1000,500,0.86,407.0,10,Devang Shah,2.42,1.34,4.69,0.71,1.37,4,Axis Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7.0,4,6.0112671744041615,0.6205764877251099,2,0
AXIS Retirement Savings Fund,1000,5000,0.6,270.0,3,Jinesh Gopani,1.58,-4.16625,13.43,0.85,0.79,6,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-1.3,13.6,8.9,32,5.602118820879701,0.4700036292457356,1,0
AXIS Retirement Savings Fund,1000,5000,0.41,81.0,3,Jinesh Gopani,1.84,-0.04,5.69,0.83,1.04,5,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-2.5,10.3,8.9,32,4.406719247264253,0.3435897043900769,2,0
AXIS Retirement Savings Fund,1000,5000,0.65,633.0,3,Jinesh Gopani,1.56,-4.16625,13.03,0.78,0.76,6,Axis Mutual Fund,1,Solution Oriented,Retirement Funds,-4.1,14.0,8.9,32,6.452048954437226,0.5007752879124893,1,0
AXIS Short Term Fund,1000,5000,0.3,7096.0,10,Devang Shah,2.78,4.6,1.61,1.78,1.38,3,Axis Mutual Fund,4,Debt,Short Duration Funds,4.9,6.9,7.4,34,8.867427438524983,0.262364264467491,4,0
AXIS Small Cap Fund,500,500,0.54,11462.0,9,Anupam Tiwari,3.9,8.34,14.71,0.66,2.06,6,Axis Mutual Fund,5,Equity,Small Cap Mutual Funds,3.4,34.5,18.1,35,9.34687973611501,0.43178241642553783,3,1
AXIS Strategic Bond Fund,1000,5000,0.39,1644.0,10,Devang Shah,2.27,2.56,1.89,0.7,1.46,4,Axis Mutual Fund,4,Debt,Medium Duration Funds,5.2,7.4,7.4,25,7.405495663199472,0.3293037471426004,2,0
AXIS Treasury Advantage Fund,1000,5000,0.29,4614.0,10,Devang Shah,3.73,3.09,0.87,1.17,1.75,2,Axis Mutual Fund,4,Debt,Low Duration Funds,5.3,5.9,6.6,24,8.437067146936952,0.2546422183735807,4,0
AXIS Triple Advantage Fund,1000,500,0.72,1478.0,10,R Sivakumar,2.35,-2.21,13.44,0.91,1.08,6,Axis Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,-5.1,18.1,10.4,29,7.2991214627108,0.5423242908253617,3,0
AXIS Ultra Short Term Fund,1000,5000,0.31,4491.0,5,Aditya Pagaria,4.47,2.29,0.53,0.81,2.25,3,Axis Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.4,8.9,36,8.410053315858335,0.27002713721306015,4,0
Bandhan Asset Allocation FoF – Moderate – Direct Growth,100,1000,0.42,16.0,10,Sachin Relekar,2.27,0.73,6.59,0.43,1.31,5,Bandhan Mutual Fund,0,Other,FoFs Domestic,1.3,12.7,6.9,16,2.833213344056216,0.3506568716131694,1,0
Bandhan FTP – Sr.179,0,5000,0.05,286.0,4,Harshal Joshi,0.9,8.463750000000001,3.98,5.4,0.64,3,Bandhan Mutual Fund,0,Debt,Fixed Maturity Plans,4.4,6.2,8.9,13,5.659482215759621,0.048790164169432,2,0
Bank of India Arbitrage Fund,1000,5000,0.98,12.0,5,Alok Singh,-1.14,0.24,0.6,0.52,-0.78,1,Bank of India Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,4.2,3.4,8.9,1,2.5649493574615367,0.6830968447064438,2,0
Bank of India Balanced Advantage Fund,1000,5000,2.07,90.0,9,Alok Singh,1.81,-1.05,11.04,0.54,0.81,6,Bank of India Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,13.6,12.1,5.1,9,4.51085950651685,1.1216775615991057,0,0
Bank of India Conservative Hybrid Fund,1000,10000,2.2,63.0,10,Alok Singh,4.71,6.44,11.85,0.64,0.93,3,Bank of India Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,22.3,15.5,6.4,4,4.1588830833596715,1.1631508098056809,0,0
Bank of India Credit Risk Fund,0,5000,1.54,161.0,8,Alok Singh,0.91,-4.16625,37.660000000000004,-31.86,0.38,4,Bank of India Mutual Fund,5,Debt,Credit Risk Funds,130.8,12.8,0.4999999999999991,7,5.087596335232384,0.9321640810304452,0,0
Bank of India Large & Mid Cap Equity Fund,1000,5000,1.89,204.0,10,Nitin Gosar,2.66,1.7,15.55,0.88,1.4,6,Bank of India Mutual Fund,2,Equity,Large & Mid Cap Funds,2.7,25.6,9.5,21,5.3230099791384085,1.0612565021243408,0,0
Bank of India Liquid Fund,0,5000,0.18,403.0,10,Mithraem Bharucha,4.06,1.38,0.38,0.76,0.92,2,Bank of India Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.3,23,6.0014148779611505,0.16551443847757338,4,0
Bank of India Manufacturing & Infrastr Fund,1000,5000,1.55,87.0,10,Nitin Gosar,3.23,8.463750000000001,16.3,0.54,1.8,6,Bank of India Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.6,35.4,11.5,33,4.477336814478207,0.9360933591703349,0,0
Bank of India Mid & Small Cap Equity & Debt Fund,1000,5000,1.92,380.0,7,Alok Singh,2.56,8.463750000000001,15.51,0.75,1.59,6,Bank of India Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,-0.3,29.3,10.4,0,5.942799375126701,1.0715836162801904,0,0
Bank of India Midcap Tax Fund,0,500,0.95,51.0,5,Dhruv Bhatia,2.64,3.13,17.03,0.87,1.38,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.1,27.1,10.6,11,3.9512437185814275,0.6678293725756554,0,0
Bank of India Midcap Tax Fund,0,500,0.56,26.0,4,Dhruv Bhatia,2.65,2.58,16.94,0.87,1.36,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.7,26.0,8.9,11,3.295836866004329,0.44468582126144574,1,0
Bank of India Overnight Fund,0,5000,0.17,82.0,3,Mithraem Bharucha,1.92,0.76,0.34,0.47,0.39,1,Bank of India Mutual Fund,5,Debt,Overnight Mutual Funds,5.5,4.0,8.9,31,4.418840607796598,0.15700374880966478,2,0
Bank of India Short Term Income – Direct Growth,1000,5000,0.98,72.0,10,Mithraem Bharucha,0.76,3.58,11.44,-0.99,0.43,2,Bank of India Mutual Fund,5,Debt,Short Duration Funds,28.3,8.8,4.0,34,4.290459441148391,0.6830968447064438,2,0
Bank of India Small Cap Fund,1000,5000,1.52,414.0,4,Dhruv Bhatia,4.16,8.463750000000001,18.44,0.81,1.93,6,Bank of India Mutual Fund,4,Equity,Small Cap Mutual Funds,-1.0,47.7,8.9,35,6.028278520230698,0.9242589015233319,0,0
Bank of India Tax Advantage Fund,500,500,1.31,676.0,10,Alok Singh,2.88,3.48,16.3,0.89,1.5,6,Bank of India Mutual Fund,4,Equity,ELSS Mutual Funds,0.9,29.0,13.2,11,6.517671272912275,0.8372475245337022,0,1
